country,p2011,p2012,p2013,p2014,p2015,p2016,p2017,p2018,p2019,p2020,p2021
Latin America & Caribbean,595510008.0,602139396.0,608642242.0,615046755.0,621390109.0,627668470.0,633797190.0,639628226.0,645295804.0,650534986.0,654980630.0
Least developed countries: UN classification,864134636.0,885375140.0,907133963.0,929398042.0,951928215.0,975265947.0,999288864.0,1023493788.0,1048193552.0,1073743450.0,1099568566.0
Low income,525506329.0,540002626.0,553835758.0,567702296.0,582173028.0,597683499.0,613946858.0,630865826.0,648755452.0,667053670.0,685250041.0
Liechtenstein,36189.0,36505.0,36806.0,37096.0,37355.0,37609.0,37889.0,38181.0,38482.0,38756.0,39039.0
Sri Lanka,20859743.0,21017147.0,21131756.0,21239457.0,21336697.0,21425494.0,21506813.0,21670000.0,21803000.0,21919000.0,22156000.0
Lower middle income,2726052485.0,2769675465.0,2813932332.0,2858673420.0,2902878488.0,2946639176.0,2990172548.0,3033153113.0,3075311775.0,3117225754.0,3157462375.0
Low & middle income,5839474111.0,5919873728.0,6000646643.0,6081160760.0,6160876270.0,6240319049.0,6320334263.0,6399036689.0,6476092964.0,6549996251.0,6618837270.0
Lesotho,2037677.0,2054718.0,2073939.0,2095242.0,2118521.0,2143872.0,2170617.0,2198017.0,2225702.0,2254100.0,2281454.0
Late-demographic dividend,2196512073.0,2212381413.0,2228485037.0,2244043359.0,2258406242.0,2272340223.0,2286627723.0,2298987594.0,2309491804.0,2317277554.0,2322606486.0
Lithuania,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2794137.0,2794885.0,2800839.0
Luxembourg,518347.0,530946.0,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,620001.0,630419.0,640064.0
Latvia,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,1913822.0,1900449.0,1884490.0
"Macao SAR, China",571003.0,582766.0,593374.0,604167.0,615239.0,626688.0,638609.0,650991.0,663653.0,676283.0,686607.0
St. Martin (French part),36350.0,36026.0,35639.0,35261.0,35020.0,34811.0,34496.0,33852.0,33121.0,32553.0,31948.0
Morocco,32903699.0,33352169.0,33803527.0,34248603.0,34680458.0,35107264.0,35528115.0,35927511.0,36304408.0,36688772.0,37076584.0
Monaco,33945.0,34700.0,35425.0,36110.0,36760.0,37071.0,37044.0,37029.0,37034.0,36922.0,36686.0
Moldova,2860699.0,2860324.0,2859558.0,2857815.0,2835978.0,2803186.0,2755189.0,2707203.0,2664224.0,2635130.0,2595809.0
Madagascar,22348158.0,22966240.0,23588073.0,24215976.0,24850912.0,25501941.0,26169542.0,26846541.0,27533134.0,28225177.0,28915653.0
Maldives,374440.0,387539.0,400728.0,416738.0,435582.0,454252.0,472442.0,489758.0,504508.0,514438.0,521457.0
Middle East & North Africa,406045323.0,414117603.0,422790409.0,431664579.0,440506473.0,448917409.0,456885486.0,465073490.0,473201775.0,479966649.0,486174763.0
Mexico,114150481.0,115755909.0,117290686.0,118755887.0,120149897.0,121519221.0,122839258.0,124013861.0,125085311.0,125998302.0,126705138.0
Marshall Islands,52971.0,52203.0,51352.0,50419.0,49410.0,48329.0,47187.0,45989.0,44728.0,43413.0,42050.0
Middle income,5313967782.0,5379871102.0,5446810885.0,5513458464.0,5578703242.0,5642635550.0,5706387405.0,5768170863.0,5827337512.0,5882942581.0,5933587229.0
North Macedonia,2058539.0,2061044.0,2064032.0,2067471.0,2070226.0,2072490.0,2074502.0,2076217.0,2076694.0,2072531.0,2065092.0
Mali,16039734.0,16514687.0,17004033.0,17551814.0,18112907.0,18700106.0,19311355.0,19934298.0,20567424.0,21224040.0,21904983.0
Malta,416268.0,420028.0,425967.0,434558.0,445053.0,455356.0,467999.0,484630.0,504062.0,515332.0,518536.0
Myanmar,49794522.0,50218185.0,50648334.0,51072436.0,51483949.0,51892349.0,52288341.0,52666014.0,53040212.0,53423198.0,53798084.0
Middle East & North Africa (excluding high income),349770162.0,356239722.0,363310225.0,370756356.0,378137339.0,385054538.0,391607422.0,398375344.0,405259403.0,411810124.0,418047201.0
Montenegro,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,622227.0,622028.0,621306.0,619211.0
Mongolia,2743938.0,2792349.0,2845153.0,2902823.0,2964749.0,3029555.0,3096030.0,3163991.0,3232430.0,3294335.0,3347782.0
Northern Mariana Islands,52520.0,52359.0,52141.0,51856.0,51514.0,51133.0,50729.0,50304.0,49858.0,49587.0,49481.0
Mozambique,23760421.0,24487611.0,25251731.0,26038704.0,26843246.0,27696493.0,28569441.0,29423878.0,30285595.0,31178239.0,32077072.0
Mauritania,3524249.0,3636113.0,3742959.0,3843174.0,3946220.0,4051890.0,4160015.0,4270712.0,4383849.0,4498604.0,4614974.0
Mauritius,1252404.0,1255882.0,1258927.0,1261208.0,1262879.0,1263747.0,1264887.0,1265577.0,1265985.0,1266014.0,1266334.0
Malawi,15146094.0,15581251.0,16024775.0,16477966.0,16938942.0,17405624.0,17881167.0,18367883.0,18867337.0,19377061.0,19889742.0
Malaysia,29184133.0,29660212.0,30134807.0,30606459.0,31068833.0,31526418.0,31975806.0,32399271.0,32804020.0,33199993.0,33573874.0
North America,345987373.0,348656682.0,351207902.0,353888902.0,356507139.0,359245796.0,361731237.0,363967201.0,365995094.0,369582571.0,370321816.0
Namibia,2132340.0,2167470.0,2204510.0,2243001.0,2282704.0,2323352.0,2364534.0,2405680.0,2446644.0,2489098.0,2530151.0
New Caledonia,254350.0,259000.0,263650.0,268050.0,269460.0,270220.0,270810.0,271170.0,271240.0,271080.0,270390.0
Niger,17283112.0,17954407.0,18653199.0,19372014.0,20128124.0,20921743.0,21737922.0,22577058.0,23443393.0,24333639.0,25252722.0
Nigeria,165463745.0,170075932.0,174726123.0,179379016.0,183995785.0,188666931.0,193495907.0,198387623.0,203304492.0,208327405.0,213401323.0
Nicaragua,5942553.0,6030607.0,6119379.0,6208676.0,6298598.0,6389235.0,6480532.0,6572233.0,6663924.0,6755895.0,6850540.0
Netherlands,16693074.0,16754962.0,16804432.0,16865008.0,16939923.0,17030314.0,17131296.0,17231624.0,17344874.0,17441500.0,17533044.0
Norway,4953088.0,5018573.0,5079623.0,5137232.0,5188607.0,5234519.0,5276968.0,5311916.0,5347896.0,5379475.0,5408320.0
Nepal,27266399.0,27330694.0,27381555.0,27462106.0,27610325.0,27861186.0,28183426.0,28506712.0,28832496.0,29348627.0,30034989.0
Nauru,10283.0,10444.0,10694.0,10940.0,11185.0,11437.0,11682.0,11924.0,12132.0,12315.0,12511.0
New Zealand,4384000.0,4408100.0,4442100.0,4516500.0,4609400.0,4714100.0,4813600.0,4900600.0,4979200.0,5090200.0,5111400.0
OECD members,1297593939.0,1305513492.0,1313643972.0,1322075502.0,1330315361.0,1338790910.0,1346867343.0,1354836308.0,1362014902.0,1369465369.0,1371917156.0
Oman,3206870.0,3535579.0,3816680.0,4009267.0,4191776.0,4398070.0,4541854.0,4601157.0,4602768.0,4543399.0,4520471.0
Other small states,27072916.0,27617274.0,28225790.0,28907552.0,29621042.0,30309997.0,30940313.0,31494491.0,32005477.0,32381464.0,32708277.0
Pakistan,198602738.0,202205861.0,205337562.0,208251628.0,210969298.0,213524840.0,216379655.0,219731479.0,223293280.0,227196741.0,231402117.0
Panama,3688674.0,3754862.0,3821556.0,3888793.0,3957099.0,4026336.0,4096063.0,4165255.0,4232532.0,4294396.0,4351267.0
Peru,29477721.0,29749589.0,30038809.0,30353951.0,30711863.0,31132779.0,31605486.0,32203944.0,32824861.0,33304756.0,33715471.0
Philippines,96337913.0,98032317.0,99700107.0,101325201.0,103031365.0,104875266.0,106738501.0,108568836.0,110380804.0,112190977.0,113880328.0
Palau,18240.0,17946.0,17805.0,17796.0,17794.0,17816.0,17837.0,17864.0,17916.0,17972.0,18024.0
Papua New Guinea,7806637.0,8026545.0,8245627.0,8464153.0,8682174.0,8899169.0,9114796.0,9329227.0,9542486.0,9749640.0,9949437.0
Poland,38063255.0,38063164.0,38040196.0,38011735.0,37986412.0,37970087.0,37974826.0,37974750.0,37965475.0,37899070.0,37747124.0
Pre-demographic dividend,761717101.0,784822780.0,808542070.0,832469778.0,856420253.0,880891473.0,905987912.0,931467165.0,957503246.0,984213438.0,1011043183.0
Puerto Rico,3678732.0,3634488.0,3593077.0,3534874.0,3473232.0,3406672.0,3325286.0,3193354.0,3193694.0,3281557.0,3262693.0
"Korea, Dem. People's Rep.",24783789.0,24887770.0,25001819.0,25126131.0,25258015.0,25389611.0,25516321.0,25638149.0,25755441.0,25867467.0,25971909.0
Portugal,10557560.0,10514844.0,10457295.0,10401062.0,10358076.0,10325452.0,10300300.0,10283822.0,10286263.0,10297081.0,10361831.0
Paraguay,5843939.0,5923322.0,6005652.0,6090721.0,6177950.0,6266615.0,6355404.0,6443328.0,6530026.0,6618695.0,6703799.0
West Bank and Gaza,3882986.0,3979998.0,4076708.0,4173398.0,4270092.0,4367088.0,4454805.0,4569087.0,4685306.0,4803269.0,4922749.0
Pacific island small states,2327284.0,2353058.0,2379069.0,2405308.0,2431426.0,2457814.0,2484263.0,2510226.0,2536070.0,2566819.0,2602173.0
Post-demographic dividend,1077987051.0,1082488958.0,1087230525.0,1092179620.0,1097061415.0,1102020063.0,1106212920.0,1110123356.0,1113305347.0,1117418072.0,1116569892.0
French Polynesia,285265.0,286584.0,288032.0,289873.0,291787.0,293541.0,295450.0,297606.0,299717.0,301920.0,304032.0
Qatar,1804171.0,1905660.0,2035501.0,2214465.0,2414573.0,2595166.0,2711755.0,2766732.0,2807235.0,2760385.0,2688235.0
Romania,20147528.0,20058035.0,19983693.0,19908979.0,19815616.0,19702267.0,19588715.0,19473970.0,19371648.0,19265250.0,19122059.0
Russian Federation,142960908.0,143201721.0,143506995.0,143819667.0,144096870.0,144342397.0,144496739.0,144477859.0,144406261.0,144073139.0,144130482.0
Rwanda,10576932.0,10840334.0,11101350.0,11368451.0,11642959.0,11930899.0,12230339.0,12531808.0,12835028.0,13146362.0,13461888.0
South Asia,1684898004.0,1708706729.0,1731683901.0,1754030304.0,1775545180.0,1797072648.0,1818931519.0,1840534093.0,1861598514.0,1882531620.0,1901911604.0
Saudi Arabia,30150945.0,30821543.0,31482498.0,32125564.0,32749848.0,33416270.0,34193122.0,35018133.0,35827362.0,35997107.0,35950396.0
Sudan,34419624.0,35159792.0,35990704.0,37003245.0,38171178.0,39377169.0,40679828.0,41999059.0,43232093.0,44440486.0,45657202.0
Senegal,12875880.0,13231833.0,13595566.0,13970308.0,14356181.0,14751356.0,15157793.0,15574909.0,16000781.0,16436120.0,16876720.0
Singapore,5183688.0,5312437.0,5399162.0,5469724.0,5535002.0,5607283.0,5612253.0,5638676.0,5703569.0,5685807.0,5453566.0
Solomon Islands,553721.0,567763.0,582365.0,597375.0,612660.0,628102.0,643634.0,659249.0,674993.0,691191.0,707851.0
Sierra Leone,6612385.0,6788587.0,6964859.0,7140688.0,7314773.0,7493913.0,7677565.0,7861281.0,8046828.0,8233970.0,8420641.0
El Salvador,6137349.0,6161289.0,6185642.0,6209526.0,6231066.0,6250510.0,6266654.0,6276342.0,6280217.0,6292731.0,6314167.0
San Marino,32495.0,33132.0,33285.0,33389.0,33570.0,33834.0,34056.0,34156.0,34178.0,34007.0,33745.0
Somalia,12216837.0,12440326.0,12852485.0,13309235.0,13763906.0,14292847.0,14864221.0,15411094.0,15981300.0,16537016.0,17065581.0
Serbia,7234099.0,7199077.0,7164132.0,7130576.0,7095383.0,7058322.0,7020858.0,6982604.0,6945235.0,6899126.0,6834326.0
Sub-Saharan Africa (excluding high income),904194713.0,929240350.0,955006753.0,981415249.0,1008605380.0,1036061312.0,1063789431.0,1092307211.0,1121451424.0,1151203619.0,1181063755.0
South Sudan,10243050.0,10701604.0,11106031.0,11213284.0,11194299.0,11066105.0,10658226.0,10395329.0,10447666.0,10606227.0,10748272.0
Sub-Saharan Africa,904282154.0,929328653.0,955096702.0,981506608.0,1008698799.0,1036155989.0,1063885274.0,1092403973.0,1121549049.0,1151302081.0,1181163013.0
Small states,36444557.0,37059328.0,37740743.0,38493904.0,39277070.0,40033083.0,40728210.0,41379367.0,41965649.0,42393051.0,42792327.0
Sao Tome and Principe,186044.0,189924.0,193757.0,197497.0,201124.0,204632.0,208036.0,211344.0,214599.0,218641.0,223107.0
Suriname,552146.0,558111.0,563947.0,569682.0,575475.0,581453.0,587559.0,593715.0,600301.0,607065.0,612985.0
Slovak Republic,5398384.0,5407579.0,5413393.0,5418649.0,5423801.0,5430798.0,5439232.0,5446771.0,5454147.0,5458827.0,5447247.0
Slovenia,2052843.0,2057159.0,2059953.0,2061980.0,2063531.0,2065042.0,2066388.0,2073894.0,2088385.0,2102419.0,2108079.0
Sweden,9449213.0,9519374.0,9600379.0,9696110.0,9799186.0,9923085.0,10057698.0,10175214.0,10278887.0,10353442.0,10415811.0
Eswatini,1105371.0,1111444.0,1118319.0,1125865.0,1133936.0,1142524.0,1151390.0,1160428.0,1169613.0,1180655.0,1192271.0
Sint Maarten (Dutch part),33435.0,34640.0,36607.0,37685.0,38825.0,39969.0,40574.0,40895.0,41608.0,42310.0,42668.0
Seychelles,87441.0,88303.0,89949.0,91359.0,93419.0,94677.0,95843.0,96762.0,97625.0,98462.0,99258.0
Syrian Arab Republic,22730733.0,22605577.0,21495821.0,20072232.0,19205178.0,18964252.0,18983373.0,19333463.0,20098251.0,20772595.0,21324367.0
Turks and Caicos Islands,30816.0,32081.0,33594.0,34985.0,36538.0,38246.0,39844.0,41487.0,43080.0,44276.0,45114.0
Chad,12317730.0,12754906.0,13216766.0,13697126.0,14140274.0,14592585.0,15085884.0,15604210.0,16126866.0,16644701.0,17179740.0
East Asia & Pacific (IDA & IBRD countries),1959494275.0,1976386829.0,1993077336.0,2009149689.0,2024511016.0,2039794828.0,2055414680.0,2068898629.0,2080648616.0,2090523535.0,2097669023.0
Europe & Central Asia (IDA & IBRD countries),443820083.0,445763231.0,447902778.0,450071285.0,452273365.0,454426367.0,456393433.0,458211234.0,460092452.0,461273023.0,462431038.0
Togo,6748672.0,6926635.0,7106229.0,7288383.0,7473229.0,7661354.0,7852795.0,8046679.0,8243094.0,8442580.0,8644829.0
Thailand,68712846.0,69157023.0,69578602.0,69960943.0,70294397.0,70607037.0,70898202.0,71127802.0,71307763.0,71475664.0,71601103.0
Tajikistan,7784819.0,7956382.0,8136610.0,8326348.0,8524063.0,8725318.0,8925525.0,9128132.0,9337003.0,9543207.0,9750064.0
Turkmenistan,5360811.0,5458682.0,5560095.0,5663152.0,5766431.0,5868561.0,5968383.0,6065066.0,6158420.0,6250438.0,6341855.0
Latin America & the Caribbean (IDA & IBRD countries),579334666.0,585986944.0,592507619.0,598949385.0,605335594.0,611668087.0,617875842.0,623841282.0,629515571.0,634680385.0,639188695.0
Timor-Leste,1112976.0,1137676.0,1161555.0,1184830.0,1205813.0,1224562.0,1243235.0,1261845.0,1280438.0,1299995.0,1320942.0
Middle East & North Africa (IDA & IBRD countries),345887176.0,352259724.0,359233517.0,366582958.0,373867247.0,380687450.0,387152617.0,393806257.0,400574097.0,407006855.0,413124452.0
Tonga,107611.0,107502.0,107089.0,106626.0,106122.0,105707.0,105415.0,105150.0,104951.0,105254.0,106017.0
South Asia (IDA & IBRD),1684898004.0,1708706729.0,1731683901.0,1754030304.0,1775545180.0,1797072648.0,1818931519.0,1840534093.0,1861598514.0,1882531620.0,1901911604.0
Sub-Saharan Africa (IDA & IBRD countries),904282154.0,929328653.0,955096702.0,981506608.0,1008698799.0,1036155989.0,1063885274.0,1092403973.0,1121549049.0,1151302081.0,1181163013.0
Trinidad and Tobago,1420020.0,1430377.0,1440729.0,1450661.0,1460177.0,1469330.0,1478607.0,1504709.0,1519955.0,1518147.0,1525663.0
Tunisia,11032528.0,11174383.0,11300284.0,11428948.0,11557779.0,11685667.0,11811443.0,11933041.0,12049314.0,12161723.0,12262946.0
Turkiye,74223629.0,75175827.0,76147624.0,77181884.0,78218479.0,79277962.0,80312698.0,81407204.0,82579440.0,83384680.0,84147318.0
Tuvalu,10700.0,10854.0,10918.0,10899.0,10877.0,10852.0,10828.0,10865.0,10956.0,11069.0,11204.0
Tanzania,46416031.0,47786137.0,49253643.0,50814552.0,52542823.0,54401802.0,56267032.0,58090443.0,59872579.0,61704518.0,63588334.0
Uganda,33295738.0,34273295.0,35273570.0,36336539.0,37477356.0,38748299.0,40127085.0,41515395.0,42949080.0,44404611.0,45853778.0
Ukraine,45706086.0,45593342.0,45489648.0,45272155.0,45154036.0,45004673.0,44831135.0,44622518.0,44386203.0,44132049.0,43822901.0
Upper middle income,2587915297.0,2610195637.0,2632878553.0,2654785044.0,2675824754.0,2695996374.0,2716214857.0,2735017750.0,2752025737.0,2765716827.0,2776124854.0
Uruguay,3361637.0,3371133.0,3381180.0,3391662.0,3402818.0,3413766.0,3422200.0,3427042.0,3428409.0,3429086.0,3426260.0
United States,311583481.0,313877662.0,316059947.0,318386329.0,320738994.0,323071755.0,325122128.0,326838199.0,328329953.0,331511512.0,332031554.0
Uzbekistan,29339400.0,29774500.0,30243200.0,30757700.0,31298900.0,31847900.0,32388600.0,32956100.0,33580350.0,34232050.0,34915100.0
St. Vincent and the Grenadines,108703.0,108083.0,107450.0,106912.0,106482.0,105963.0,105549.0,105281.0,104924.0,104632.0,104332.0
"Venezuela, RB",29096159.0,29470426.0,29838021.0,30193258.0,30529716.0,30741464.0,30563433.0,29825653.0,28971683.0,28490453.0,28199867.0
British Virgin Islands,27962.0,28421.0,28657.0,28971.0,29366.0,29739.0,30060.0,30335.0,30610.0,30910.0,31122.0
Virgin Islands (U.S.),108290.0,108188.0,108041.0,107882.0,107712.0,107516.0,107281.0,107001.0,106669.0,106290.0,105870.0
Viet Nam,88349117.0,89301326.0,90267739.0,91235504.0,92191398.0,93126529.0,94033048.0,94914330.0,95776716.0,96648685.0,97468029.0
Vanuatu,251294.0,257313.0,263534.0,269927.0,276438.0,283218.0,290239.0,297298.0,304404.0,311685.0,319137.0
World,7054044372.0,7141386257.0,7229303088.0,7317040295.0,7403850164.0,7490415449.0,7576441961.0,7660371127.0,7741774583.0,7820205606.0,7888305693.0
Samoa,196351.0,198124.0,199939.0,201757.0,203571.0,205544.0,207630.0,209701.0,211905.0,214929.0,218764.0
Kosovo,1791000.0,1807106.0,1818117.0,1812771.0,1788196.0,1777557.0,1791003.0,1797085.0,1788878.0,1790133.0,1786038.0
"Yemen, Rep.",25475610.0,26223391.0,26984002.0,27753304.0,28516545.0,29274002.0,30034389.0,30790513.0,31546691.0,32284046.0,32981641.0
South Africa,52443325.0,53145033.0,53873616.0,54729551.0,55876504.0,56422274.0,56641209.0,57339635.0,58087055.0,58801927.0,59392255.0
Zambia,14265814.0,14744658.0,15234976.0,15737793.0,16248230.0,16767761.0,17298054.0,17835893.0,18380477.0,18927715.0,19473125.0
Zimbabwe,13025785.0,13265331.0,13555422.0,13855753.0,14154937.0,14452704.0,14751101.0,15052184.0,15354608.0,15669666.0,15993524.0
